Fast Food,Store Name,Street,City,State,Zip,Country,unique_address,LAT,LONG
Pizza Hut,Nowra,"Shop 1, 78 Kinghorne St",Nowra,NSW,2540,Australia,"Shop 1, 78 Kinghorne St,Nowra,NSW,2540,Australia",-34.87545073,150.6032582
Pizza Hut,Nundah,88 Buckland Rd,Nundah,QLD,4012,Australia,"88 Buckland Rd,Nundah,QLD,4012,Australia",-27.40380422,153.0610749
Pizza Hut,Oakey,92 Campbell St,Oakey,QLD,4401,Australia,"92 Campbell St,Oakey,QLD,4401,Australia",-27.43314779,151.7212595
Pizza Hut,Oakleigh,244 Huntingdale Rd,Huntingdale,VIC,3166,Australia,"244 Huntingdale Rd,Huntingdale,VIC,3166,Australia",-37.90546921,145.1048581
Pizza Hut,Orange Dine In,33 Bathurst Rd,Orange,NSW,2800,Australia,"33 Bathurst Rd,Orange,NSW,2800,Australia",-33.2859929,149.1069283
Pizza Hut,Ormeau,"Shop 1, 180 Pascoe Rd",Ormeau,QLD,4208,Australia,"Shop 1, 180 Pascoe Rd,Ormeau,QLD,4208,Australia",-27.76334113,153.2451532
Pizza Hut,Pakenham,"Shop 6, 1 Hunt Way",Pakenham,VIC,3810,Australia,"Shop 6, 1 Hunt Way,Pakenham,VIC,3810,Australia",-38.07944998,145.4920321
Pizza Hut,Palmerston,15 Temple Tce,Palmerston,NT,830,Australia,"15 Temple Tce,Palmerston,NT,830,Australia",-12.48366905,130.9855136
Pizza Hut,Palmwoods,2 Margaret St,Palmwoods,QLD,4555,Australia,"2 Margaret St,Palmwoods,QLD,4555,Australia",-26.68558362,152.9591264
Pizza Hut,Para Vista,296-306 Nelson Rd,Para Vista,SA,5093,Australia,"296-306 Nelson Rd,Para Vista,SA,5093,Australia",-34.81969276,138.661719
Pizza Hut,Parkmore,"Shop Z6 Parkmore Shopping Centre, Cheltenham Rd",Parkmore,VIC,3173,Australia,"Shop Z6 Parkmore Shopping Centre, Cheltenham Rd,Parkmore,VIC,3173,Australia",-37.99397431,145.1732662
Pizza Hut,Parramatta,476 Church St,North Parramatta,NSW,2151,Australia,"476 Church St,North Parramatta,NSW,2151,Australia",-33.80452568,151.0061864
Pizza Hut,Patterson Lakes,SHOP 8/100 Gladesville Bvd,Patterson Lakes,VIC,3197,Australia,"SHOP 8/100 Gladesville Bvd,Patterson Lakes,VIC,3197,Australia",-38.0668472,145.1443218
Pizza Hut,Penrith,"Shop 2, 29 York Rd",Penrith,NSW,2750,Australia,"Shop 2, 29 York Rd,Penrith,NSW,2750,Australia",-33.76407097,150.6884439
Pizza Hut,Perth,"Shop 2, 101 Murray St",Perth,WA,6000,Australia,"Shop 2, 101 Murray St,Perth,WA,6000,Australia",-31.95427818,115.8620403
Pizza Hut,Pimpama,27 Dixon Dr,Pimpama,QLD,4209,Australia,"27 Dixon Dr,Pimpama,QLD,4209,Australia",-27.82585794,153.31755
Pizza Hut,Pittsworth,"Shop 2, 122 Yandilla St",Pittsworth,QLD,4356,Australia,"Shop 2, 122 Yandilla St,Pittsworth,QLD,4356,Australia",-27.71715433,151.6316879
Pizza Hut,Plainland,"Shop H, 4424 Warrego Hwy",Plainland,QLD,4341,Australia,"Shop H, 4424 Warrego Hwy,Plainland,QLD,4341,Australia",-27.5642465,152.4219566
Pizza Hut,Plympton,353 Anzac Hwy,Plympton,SA,5038,Australia,"353 Anzac Hwy,Plympton,SA,5038,Australia",-34.96831643,138.5475794
Pizza Hut,Point Cook,"Shop 30A Sanctuary Lakes Shopping Centre, 300 Point Cook Rd",Point Cook,VIC,3030,Australia,"Shop 30A Sanctuary Lakes Shopping Centre, 300 Point Cook Rd,Point Cook,VIC,3030,Australia",-37.8954699,144.7534531
Pizza Hut,Port Augusta,23 Victoria Pde,Port Augusta,SA,5700,Australia,"23 Victoria Pde,Port Augusta,SA,5700,Australia",-32.49667901,137.77375
Pizza Hut,Potts Point,"Shop TG15 Kings Cross Centre, 82-94 Darlinghurst Rd",Potts Point,NSW,2011,Australia,"Shop TG15 Kings Cross Centre, 82-94 Darlinghurst Rd,Potts Point,NSW,2011,Australia",-33.8753422,151.2224552
Pizza Hut,Prahran,567 High St,Prahran,VIC,3181,Australia,"567 High St,Prahran,VIC,3181,Australia",-37.85356,145.007194
Pizza Hut,Randwick,129 Botany St,Randwick,NSW,2031,Australia,"129 Botany St,Randwick,NSW,2031,Australia",-33.92057229,151.2359447
Pizza Hut,Redbank Plains,"Shop 54 Town Square, 357 Redbank Plains Rd",Redbank Plains,QLD,4301,Australia,"Shop 54 Town Square, 357 Redbank Plains Rd,Redbank Plains,QLD,4301,Australia",-27.64526118,152.8717685
Pizza Hut,Reservoir,317 Spring St,Reservoir,VIC,3073,Australia,"317 Spring St,Reservoir,VIC,3073,Australia",-37.71496288,145.0071935
Pizza Hut,Revesby,"Shop 15 Palm Court, 23 Selems Pde",Revesby,NSW,2212,Australia,"Shop 15 Palm Court, 23 Selems Pde,Revesby,NSW,2212,Australia",-33.9511654,151.0142021
Pizza Hut,Ringwood,79 Bedford Rd,Ringwood,VIC,3134,Australia,"79 Bedford Rd,Ringwood,VIC,3134,Australia",-37.81710093,145.2400023
Pizza Hut,Riverton,"Shop P06 Riverton Forum, High Rd & Willeri Dr",Riverton,WA,6148,Australia,"Shop P06 Riverton Forum, High Rd & Willeri Dr,Riverton,WA,6148,Australia",-32.03868051,115.9035497
Pizza Hut,Riverwood,225 Belmore Rd,Riverwood,NSW,2210,Australia,"225 Belmore Rd,Riverwood,NSW,2210,Australia",-33.95373864,151.051357
Pizza Hut,Robina,"Shop 2, 510 Christine Ave",Robina,QLD,4226,Australia,"Shop 2, 510 Christine Ave,Robina,QLD,4226,Australia",-28.08529389,153.3928457
Pizza Hut,Rosewood,30 John St,Rosewood,QLD,4340,Australia,"30 John St,Rosewood,QLD,4340,Australia",-27.64078807,152.5925589
Pizza Hut,Rouse Hill,"Shop 2, 26 Adelphi St",Rouse Hill,NSW,2155,Australia,"Shop 2, 26 Adelphi St,Rouse Hill,NSW,2155,Australia",-33.68179278,150.9163438
